date,outliers
8/16/22,0
8/17/22,0
8/18/22,0
8/19/22,0
8/20/22,0
8/21/22,0
8/22/22,0
8/23/22,0
8/24/22,0
8/25/22,0
8/26/22,0
8/27/22,0
8/28/22,0
8/29/22,0
8/30/22,0
8/31/22,0
9/1/22,0
9/2/22,0
9/3/22,0
9/4/22,0
9/5/22,0
9/6/22,0
9/7/22,0
9/8/22,0
9/9/22,0
9/10/22,0
9/11/22,0
9/12/22,0
9/13/22,0
9/14/22,0
9/15/22,0
9/16/22,0
9/17/22,0
9/18/22,0
9/19/22,0
9/20/22,0
9/21/22,0
9/22/22,0
9/23/22,0
9/24/22,0
9/25/22,0
9/26/22,0
9/27/22,0
9/28/22,0
9/29/22,0
9/30/22,0
10/1/22,0
10/2/22,0
10/3/22,1
10/4/22,0
10/5/22,0
10/6/22,0
10/7/22,0
10/8/22,0
10/9/22,0
10/10/22,0
10/11/22,0
10/12/22,0
10/13/22,0
10/14/22,0
10/15/22,0
10/16/22,0
10/17/22,0
10/18/22,0
10/19/22,0
10/20/22,0
10/21/22,0
10/22/22,0
10/23/22,0
10/24/22,0
10/25/22,0
10/26/22,0
10/27/22,0
10/28/22,0
10/29/22,0
10/30/22,0
10/31/22,0
11/1/22,0
11/2/22,0
11/3/22,0
11/4/22,0
11/5/22,0
11/6/22,0
11/7/22,0
11/8/22,0
11/9/22,0
11/10/22,1
11/11/22,1
11/12/22,0
11/13/22,0
11/14/22,0
11/15/22,0
11/16/22,0
11/17/22,0
11/18/22,0
11/19/22,0
11/20/22,0
11/21/22,0
11/22/22,1
11/23/22,0
11/24/22,0
11/25/22,0
11/26/22,0
11/27/22,0
11/28/22,0
11/29/22,0
11/30/22,0
12/1/22,1
12/2/22,1
12/3/22,0
12/4/22,0
12/5/22,0
12/6/22,0
12/7/22,0
12/8/22,0
12/9/22,0
12/10/22,0
12/11/22,0
12/12/22,0
12/13/22,0
12/14/22,0
12/15/22,0
12/16/22,0
12/17/22,0
12/18/22,0
12/19/22,0
12/20/22,0
12/21/22,0
12/22/22,0
12/23/22,0
12/24/22,0
12/25/22,0
12/26/22,0
12/27/22,0
12/28/22,0
12/29/22,0
12/30/22,0
12/31/22,0
1/1/23,0
1/2/23,0
1/3/23,0
1/4/23,0
1/5/23,0
1/6/23,0
1/7/23,0
1/8/23,0
1/9/23,0
1/10/23,0
1/11/23,0
1/12/23,0
1/13/23,0
1/14/23,0
1/15/23,0
1/16/23,0
1/17/23,0
1/18/23,0
1/19/23,0
1/20/23,0
1/21/23,0
1/22/23,0
1/23/23,1
1/24/23,0
1/25/23,0
1/26/23,0
1/27/23,0
1/28/23,0
1/29/23,0
1/30/23,0
1/31/23,0
2/1/23,0
2/2/23,0
2/3/23,1
2/4/23,0
2/5/23,0
2/6/23,0
2/7/23,0
2/8/23,0
2/9/23,0
2/10/23,0
2/11/23,0
2/12/23,0
2/13/23,1
2/14/23,0
2/15/23,0
2/16/23,0
2/17/23,0
2/18/23,0
2/19/23,0
2/20/23,0
2/21/23,0
2/22/23,0
2/23/23,0
2/24/23,0
2/25/23,0
2/26/23,0
2/27/23,0
2/28/23,0
3/1/23,0
3/2/23,0
3/3/23,0
3/4/23,0
3/5/23,0
3/6/23,0
3/7/23,0
3/8/23,0
3/9/23,0
3/10/23,0
3/11/23,0
3/12/23,0
3/13/23,0
3/14/23,0
3/15/23,0
3/16/23,0
3/17/23,0
3/18/23,0
3/19/23,0
3/20/23,1
3/21/23,0
3/22/23,0
3/23/23,0
3/24/23,0
3/25/23,0
3/26/23,1
3/27/23,0
3/28/23,0
3/29/23,0
3/30/23,0
3/31/23,0
4/1/23,0
4/2/23,0
4/3/23,0
4/4/23,0
4/5/23,0
4/6/23,0
4/7/23,0
4/8/23,1
4/9/23,0
4/10/23,0
4/11/23,0
4/12/23,0
